"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\common\methods.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 90
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_service.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_state.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\app_constants.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\firebase_constants.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\providers_list.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\route_constants.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 71
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\theme_constants.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 79
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigation_service.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigator_route_service.dart", "Dart", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46, 281
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\locator.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
