Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\dod_card_page.dart                           | Dart       |         73 |          5 |          6 |         84 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\favorites_page.dart                          | Dart       |        127 |          1 |         12 |        140 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\requests_status_page.dart                    | Dart       |        363 |          3 |         25 |        391 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\notifications_settings_page.dart    | Dart       |         11 |          0 |          2 |         13 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\personal_profile_settings_page.dart | Dart       |        493 |          0 |         20 |        513 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\privacy_settings_page.dart          | Dart       |        137 |          9 |          8 |        154 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\profile_settings_page.dart          | Dart       |         65 |          0 |          3 |         68 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\security_settings_page.dart         | Dart       |        402 |          5 |         21 |        428 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\social_accounts_settings_page.dart  | Dart       |        332 |          0 |         13 |        345 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\user_contributions_page.dart                 | Dart       |        103 |          0 |         10 |        113 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\user_options_page.dart                       | Dart       |        119 |          0 |          3 |        122 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\notifications\user_invitations_page.dart                  | Dart       |        165 |          4 |         16 |        185 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\notifications\user_notifications_page.dart                | Dart       |         81 |          0 |          7 |         88 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\others_profile_page.dart                                  | Dart       |        136 |          0 |         15 |        151 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\profile_page.dart                                         | Dart       |         78 |          5 |          4 |         87 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\drawer.dart                                               | Dart       |        160 |         10 |          6 |        176 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_body.dart                   | Dart       |         86 |          0 |          5 |         91 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_event_part.dart             | Dart       |        157 |          0 |         16 |        173 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_group_part.dart             | Dart       |         71 |          1 |          7 |         79 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_header.dart                 | Dart       |         67 |          0 |          4 |         71 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_info_part.dart              | Dart       |         96 |          7 |          3 |        106 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_posts_part.dart             | Dart       |         80 |          0 |          9 |         89 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\post_card_for_grids.dart                                  | Dart       |         41 |          0 |          6 |         47 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_collections_part.dart                   | Dart       |          7 |          0 |          2 |          9 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_body.dart                       | Dart       |         85 |          1 |          5 |         91 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_events_tab.dart                 | Dart       |        149 |          8 |         14 |        171 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_groups_tab.dart                 | Dart       |         66 |          0 |          5 |         71 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_header.dart                     | Dart       |         95 |          0 |          6 |        101 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_info_tab.dart                   | Dart       |         88 |         14 |          4 |        106 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_posts_tab.dart                  | Dart       |         77 |          0 |          9 |         86 |
| d:\Software\Flutter\dodact_v1\lib\ui\search\search_page.dart                                                   | Dart       |        337 |          4 |         15 |        356 |
| d:\Software\Flutter\dodact_v1\lib\utilities\ad_helper.dart                                                     | Dart       |          0 |         32 |          5 |         37 |
| d:\Software\Flutter\dodact_v1\lib\utilities\dialogs.dart                                                       | Dart       |        224 |          0 |         10 |        234 |
| d:\Software\Flutter\dodact_v1\lib\utilities\error_handlers\auth_exception_handler.dart                         | Dart       |        145 |          3 |          6 |        154 |
| d:\Software\Flutter\dodact_v1\lib\utilities\profanity_checker.dart                                             | Dart       |        715 |          0 |          4 |        719 |
| d:\Software\Flutter\dodact_v1\package-lock.json                                                                | JSON       |        600 |          0 |          1 |        601 |
| d:\Software\Flutter\dodact_v1\pubspec.yaml                                                                     | YAML       |        133 |          2 |         28 |        163 |
| d:\Software\Flutter\dodact_v1\test\widget_test.dart                                                            | Dart       |         14 |         10 |          7 |         31 |
| d:\Software\Flutter\dodact_v1\web\index.html                                                                   | HTML       |         79 |         14 |          6 |         99 |
| d:\Software\Flutter\dodact_v1\web\manifest.json                                                                | JSON       |         23 |          0 |          1 |         24 |
| d:\Software\Flutter\dodact_v1\yedekler\feed_yedek.dart                                                         | Dart       |          0 |         60 |          0 |         60 |
| d:\Software\Flutter\dodact_v1\yedekler\profile_backup.dart                                                     | Dart       |          0 |        215 |          0 |        215 |
| Total                                                                                                          |            |     22,666 |      1,652 |      2,084 |     26,402 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
