Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\ios\Runner\AppDelegate.swift                                                     | Swift      |         12 |          0 |          2 |         14 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                      | JSON       |        122 |          0 |          1 |        123 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json               | JSON       |         21 |          0 |          1 |         22 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                    | JSON       |         23 |          0 |          1 |         24 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                        | Markdown   |          3 |          0 |          2 |          5 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Base.lproj\LaunchScreen.storyboard                                    | XML        |         43 |          1 |          0 |         44 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Base.lproj\Main.storyboard                                            | XML        |         25 |          1 |          1 |         27 |
| d:\Software\Flutter\dodact_v1\ios\Runner\Runner-Bridging-Header.h                                              | C++        |          1 |          0 |          1 |          2 |
| d:\Software\Flutter\dodact_v1\launch.json                                                                      | JSON       |          8 |          0 |          0 |          8 |
| d:\Software\Flutter\dodact_v1\lib\common\methods.dart                                                          | Dart       |         77 |          1 |         12 |         90 |
| d:\Software\Flutter\dodact_v1\lib\config\base\base_service.dart                                                | Dart       |          9 |          0 |          1 |         10 |
| d:\Software\Flutter\dodact_v1\lib\config\base\base_state.dart                                                  | Dart       |         28 |          3 |         13 |         44 |
| d:\Software\Flutter\dodact_v1\lib\config\constants\app_constants.dart                                          | Dart       |          2 |          0 |          1 |          3 |
| d:\Software\Flutter\dodact_v1\lib\config\constants\firebase_constants.dart                                     | Dart       |         19 |          0 |          3 |         22 |
| d:\Software\Flutter\dodact_v1\lib\config\constants\providers_list.dart                                         | Dart       |         29 |          0 |          2 |         31 |
